t,,,8.73591334,0.097065704,0.970657038,,,,,2.183978335,2.911971113,,,2.911971113,,,2.183978335
R0 ,,,,,,,,,,,,,,17.1705,,,22.894
tiempo,infectados,Umbrales,"SI 0,01","SI 0,9","SI  ?=0,09","SI 0,08","SI 0,10","SI 0,05","SI 0,4","SI  ?=0,04","SI  ?=0,03","SIR ?=0,03   µ=0,05","SIR ?=0,03   µ=0,01","SIR ?=0,03   µ=0,02","SIR ?=0,03   µ=0,03","SIR ?=0,04   µ=0,01","SIR ?=0,04   µ=0,02"
57,,,1909,,3260,3253,3268,3157,,3050,2896,310,1824,1094,681,1915,1230
58,,,1930,,3261,3254,3270,3161,,3057,2909,304,1816,1083,671,1902,1218
59,,,1946,,3263,3255,3270,3169,,3067,2917,290,1805,1075,656,1892,1197
60,,,1956,,3263,3259,3271,3175,,3072,2925,279,1786,1053,637,1880,1173
61,,,1969,,3264,3259,3272,3177,,3081,2935,262,1780,1030,618,1865,1153
62,,,1985,,3267,3261,3272,3181,,3087,2945,256,1762,1015,597,1851,1133
63,,,2000,,3268,3262,3274,3185,,3092,2961,244,1750,1003,581,1842,1102
64,,,2018,,3268,3267,3277,3189,,3095,2973,230,1736,995,567,1827,1083
65,,,2024,,3269,3267,3278,3195,,3102,2978,219,1728,986,565,1817,1074
66,,,2036,,3270,3268,3280,3199,,3109,2987,210,1725,973,548,1809,1053
67,,,2051,,3271,3271,3280,3202,,3113,2993,203,1721,966,538,1792,1035
68,,,2065,,3272,3272,3280,3206,,3120,2997,195,1718,956,527,1777,1023
69,,,2080,,3273,3273,3280,3208,,3126,3006,184,1706,945,514,1772,1010
70,,,2093,,3273,3273,,3211,,3136,3015,176,1697,930,497,1762,991
71,,,2108,,3273,3273,,3215,,3144,3026,170,1683,909,487,1751,973
72,,,2120,,3274,3276,,3217,,3146,3033,165,1670,895,472,1738,959
73,,,2133,,3274,3277,,3218,,3158,3041,156,1661,879,460,1734,939
74,,,2145,,3276,3278,,3220,,3162,3047,149,1648,864,451,1721,923
75,,,2149,,3277,3278,,3224,,3167,3055,143,1641,850,440,1700,903
76,,,2161,,3278,3278,,3225,,3170,3064,134,1631,843,435,1685,885
77,,,2173,,3279,3278,,3226,,3177,3073,129,1617,832,420,1658,865
78,,,2187,,3280,,,3229,,3184,3082,125,1601,829,409,1636,855
79,,,2205,,3280,,,3230,,3186,3086,125,1593,811,395,1625,833
80,,,2213,,3280,,,3235,,3193,3092,119,1583,796,377,1612,816
81,,,2222,,3281,,,3238,,3196,3097,118,1567,779,368,1599,795
82,,,2235,,3281,,,3240,,3202,3102,111,1552,764,356,1587,780
83,,,2242,,3281,,,3240,,3207,3104,108,1541,752,344,1578,761
84,,,2252,,3281,,,3243,,3210,3110,102,1528,740,330,1559,752
85,,,2263,,,,,3245,,3214,3118,96,1520,726,321,1541,738
86,,,2276,,,,,3247,,3214,3126,91,1506,718,310,1522,719
87,,,2291,,,,,3250,,3216,3132,84,1492,704,297,1515,706
88,,,2310,,,,,3252,,3217,3137,78,1479,691,292,1503,701
89,,,2319,,,,,3254,,3219,3141,75,1477,682,285,1490,687
90,,,2334,,,,,3255,,3219,3143,68,1458,669,279,1475,677
91,,,2349,,,,,3258,,3219,3147,65,1450,657,269,1464,667
92,,,2364,,,,,3259,,3222,3149,62,1442,653,264,1450,659
93,,,2374,,,,,3261,,3224,3151,57,1432,651,254,1433,653
94,,,2383,,,,,3261,,3229,3154,49,1416,640,243,1422,641
95,,,2393,,,,,3262,,3233,3156,47,1406,626,237,1411,622
96,,,2402,,,,,3263,,3235,3157,48,1395,616,235,1409,609
97,,,2414,,,,,3266,,3238,3161,46,1388,599,226,1397,599
98,,,2417,,,,,3266,,3239,3163,44,1371,588,218,1385,591
99,,,2425,,,,,3267,,3239,3165,44,1363,571,212,1380,577
100,,,2439,,,,,3269,,3240,3167,43,1354,563,209,1371,565
101,,,2447,,,,,3269,,3240,3172,43,1344,555,198,1361,554
102,,,2457,,,,,3269,,3242,3177,42,1333,546,188,1349,543
103,,,2462,,,,,3269,,3243,3179,42,1319,537,186,1336,530
104,,,2468,,,,,,,3246,3181,40,1304,527,179,1324,521
105,,,2479,,,,,,,3249,3183,39,1302,516,170,1313,509
106,,,2484,,,,,,,3249,3191,37,1291,501,165,1295,498
107,,,2487,,,,,,,3249,3194,37,1277,493,162,1282,487
108,,,2493,,,,,,,3249,3199,34,1268,482,159,1275,480
109,,,2501,,,,,,,,3203,32,1259,475,157,1262,470
110,,,2505,,,,,,,,3206,32,1243,462,153,1255,461
111,,,2513,,,,,,,,3208,33,1235,456,149,1238,453
112,,,2522,,,,,,,,3209,31,1218,447,143,1225,442
113,,,2529,,,,,,,,3209,31,1213,439,136,1213,434
114,,,2531,,,,,,,,3211,29,1197,425,132,1197,428
115,,,2539,,,,,,,,3211,27,1185,416,122,1184,420
116,,,2546,,,,,,,,3211,26,1170,405,121,1171,410
117,,,2554,,,,,,,,3212,25,1158,396,114,1158,403
118,,,2569,,,,,,,,3214,23,1151,390,112,1146,395
119,,,2578,,,,,,,,3214,23,1143,381,110,1135,392
120,,,2582,,,,,,,,3215,22,1133,374,108,1125,388
121,,,2587,,,,,,,,3216,21,1126,367,107,1117,375
122,,,2593,,,,,,,,3219,19,1116,365,104,1099,367
123,,,2599,,,,,,,,3221,18,1102,357,103,1086,361
124,,,2611,,,,,,,,3224,18,1098,348,99,1075,351
125,,,2615,,,,,,,,3226,18,1086,342,97,1062,344
126,,,2621,,,,,,,,3229,18,1077,337,95,1052,342
127,,,2631,,,,,,,,3231,,1069,332,92,1050,337
128,,,2636,,,,,,,,3232,,1054,323,90,1041,329
129,,,2640,,,,,,,,3233,,1042,316,87,1034,325
130,,,2650,,,,,,,,3238,,1031,314,84,1025,319
131,,,2655,,,,,,,,3241,,1021,306,79,1019,313
132,,,2664,,,,,,,,3243,,1011,303,77,1001,309
133,,,2669,,,,,,,,3246,,1007,294,74,995,306
134,,,2674,,,,,,,,3246,,996,287,72,988,302
135,,,2680,,,,,,,,3248,,984,283,71,976,298
136,,,2685,,,,,,,,3248,,973,278,68,963,293
137,,,2694,,,,,,,,3248,,967,274,66,944,291
138,,,2698,,,,,,,,3248,,962,269,65,933,284
,,,2704,,,,,,,,,,958,264,63,926,272
,,,2711,,,,,,,,,,951,257,61,917,270
,,,2716,,,,,,,,,,937,250,59,912,266
,,,2721,,,,,,,,,,928,247,57,903,260
,,,2728,,,,,,,,,,915,243,55,894,252
,,,2735,,,,,,,,,,909,241,55,882,248
,,,2741,,,,,,,,,,900,238,55,878,243
,,,2747,,,,,,,,,,891,237,55,865,236
,,,2753,,,,,,,,,,882,231,,858,233
,,,2756,,,,,,,,,,876,227,,850,229
