tiempo,infectados
0,1
1,31
2,145
3,594
4,1287
5,1787
6,2067
7,2314
8,2499
9,2638
10,2756
11,2851
12,2937
13,2995
14,3054
15,3108
16,3137
17,3163
18,3190
19,3208
20,3223
21,3230
22,3243
23,3249
24,3255
25,3263
26,3266
27,3268
28,3271
29,3274
30,3275
31,3278
32,3279
33,3279
34,3279
35,3279
