tiempo,infectados
0,1
1,39
2,296
3,1023
4,1603
5,1975
6,2249
7,2454
8,2637
9,2775
10,2873
11,2938
12,2986
13,3042
14,3091
15,3122
16,3151
17,3169
18,3189
19,3204
20,3216
21,3226
22,3234
23,3243
24,3253
25,3259
26,3261
27,3264
28,3268
29,3269
30,3271
31,3272
32,3272
33,3274
34,3278
35,3279
36,3279
37,3280
38,3281
39,3281
40,3282
41,3282
42,3282
43,3283
44,3283
45,3283
46,3283
