tiempo,infectados
0,1
1,44
2,397
3,1155
4,1722
5,2097
6,2344
7,2538
8,2692
9,2802
10,2884
11,2957
12,3024
13,3077
14,3114
15,3140
16,3165
17,3189
18,3205
19,3216
20,3224
21,3232
22,3240
23,3245
24,3248
25,3253
26,3256
27,3260
28,3264
29,3265
30,3267
31,3269
32,3271
33,3271
34,3275
35,3276
36,3277
37,3277
38,3277
39,3278
40,3279
41,3280
42,3280
43,3281
44,3281
45,3281
46,3282
47,3282
48,3282
49,3282
