AIRLINE;AIRLINE ID;Source airport;Source;"Destination airport	";Target;Codeshare;Stops;Equipment;
2K;1338;GYE;1254;BOG;1265;;0;319;
2K;1338;GYE;1254;CLO;1271;;0;319;
2K;1338;GYE;1254;SCY;2621;;0;319 320;
2K;1338;GYE;1254;UIO;1258;;0;320 319;
2K;1338;OCC;1251;UIO;1258;;0;319;
2K;1338;SCY;2621;GYE;1254;;0;319 320;
2K;1338;UIO;1258;BOG;1265;;0;319 320;
2K;1338;UIO;1258;GYE;1254;;0;319;
2K;1338;UIO;1258;OCC;1251;;0;319;
2L;2750;BDS;680;ZRH;758;;0;100;
2L;2750;BOD;593;ZRH;758;;0;100;
2L;2750;BRS;245;ZRH;758;;0;100;
2L;2750;GVA;755;LPA;479;;0;319;
2L;2750;LCA;557;ZRH;758;;0;319;
2L;2750;LPA;479;ZRH;758;;0;319;
2L;2750;RMF;2130;ZRH;758;;0;319;
2L;2750;TFS;481;GVA;755;;0;319;
2L;2750;ZRH;758;BDS;680;;0;100;
2L;2750;ZRH;758;BOD;593;;0;100;
2L;2750;ZRH;758;BRS;245;;0;100;
2L;2750;ZRH;758;LCA;557;;0;319;
2L;2750;ZRH;758;LPA;479;;0;319;
2L;2750;ZRH;758;RMF;2130;;0;319;
2N;3652;AJR;364;LYC;357;;0;ATP;
2N;3652;ARN;368;GEV;355;;0;ATP;
2N;3652;ARN;368;HAD;352;;0;SF3;
2N;3652;ARN;368;JKG;344;;0;ATP SF3;
2N;3652;ARN;368;KRF;356;;0;ATP;
2N;3652;ARN;368;KSD;2379;;0;SF3;
2N;3652;ARN;368;LYC;357;;0;ATP;
2N;3652;ARN;368;MHQ;229;;0;SF3;
2N;3652;ARN;368;OER;359;;0;ATR;
2N;3652;ARN;368;POR;231;;0;SF3;
2N;3652;ARN;368;TRF;331;;0;SF3;
2N;3652;ARN;368;VBY;373;;0;SF3 ATP;
2N;3652;ARN;368;VHM;363;;0;SF3;
2N;3652;ARN;368;VXO;353;;0;SF3;
2N;3652;GEV;355;ARN;368;;0;ATP;
2N;3652;GEV;355;KRF;356;;0;ATP;
2N;3652;HAD;352;ARN;368;;0;SF3 ATP;
2N;3652;HAD;352;JKG;344;;0;ATP SF3;
2N;3652;HAD;352;VXO;353;;0;SF3;
2N;3652;HMV;2382;VHM;363;;0;SF3;
2N;3652;JKG;344;ARN;368;;0;ATP SF3;
2N;3652;JKG;344;HAD;352;;0;ATP SF3;
2N;3652;KOK;224;POR;231;;0;SF3;
2N;3652;KRF;356;ARN;368;;0;ATP;
2N;3652;KRF;356;GEV;355;;0;ATP;
2N;3652;KSD;2379;ARN;368;;0;SF3;
2N;3652;LYC;357;AJR;364;;0;ATP;
2N;3652;LYC;357;ARN;368;;0;ATP;
2N;3652;MHQ;229;ARN;368;;0;SF3;
2N;3652;MHQ;229;TKU;235;;0;SF3;
2N;3652;OER;359;ARN;368;;0;ATR;
2N;3652;OSL;315;VXO;353;;0;SF3;
2N;3652;POR;231;ARN;368;;0;SF3;
2N;3652;POR;231;KOK;224;;0;SF3;
2N;3652;TKU;235;MHQ;229;;0;SF3;
