source,target
2006,1997
2006,2017
2006,2018
2006,1960
2006,1963
2006,1969
2006,2041
2006,2047
1997,5896
1997,5897
1997,4074
1997,5900
1997,5901
1997,5902
1997,5904
1997,5905
1997,4242
1997,5908
1997,5909
1997,5911
1997,5912
1997,5916
1997,5918
1960,2252
1960,5869
1960,1965
1960,5874
1960,5875
1960,5877
1960,5878
1963,1961
5897,5910
4074,7616
4074,7617
4074,5409
4074,7618
4074,5410
4074,5411
4074,5412
4074,5
4074,6758
4074,5414
4074,6919
4074,5415
4074,5416
4074,5417
4074,5418
4074,5404
4074,5407
5904,5898
4242,5914
4242,5915
4242,5917
5908,5906
5908,6771
5908,5894
5908,5899
5908,5903
1965,4076
1961,5873
1961,5867
1961,5883
1961,4077
5,1
5,2
5,3
5,4
5,6
5,5979
5,5984
5,5419
5,5420
5,5421
5,5422
5,5423
5,5424
5,5425
5,5428
5,5429
5,5430
5,5431
5,5433
5,5434
5,5435
5,5436
5,5437
5906,5893
5906,5895
4076,2249
5422,5432
5422,5980
