1,Papua New Guinea,74.48714285714287
7,Greenland,4496.396761904762
11,Iceland,3821.6449285714284
21,Canada,3535.545
209,Algeria,187.81685714285712
245,Benin,26.005476190476195
246,Burkina Faso,24.333404761904763
248,Ghana,63.25521428571429
253,Cote d'Ivoire,0.0
260,Nigeria,68.31904761904762
280,Niger,19.706261904761906
286,Tunisia,196.70326190476192
298,Togo,27.20809523809524
299,Belgium,3416.376833333333
337,Germany,3834.5140000000006
413,Estonia,810.4506666666668
421,Finland,3204.460119047619
465,United Kingdom,2967.2897142857146
497,Guernsey,2967.2897142857146
499,Jersey,2967.2897142857146
520,Isle of Man,2967.2897142857146
579,Falkland Islands,2967.2897142857146
580,Netherlands,3852.0574047619048
596,Ireland,3777.7709999999993
607,Denmark,4496.396761904762
625,Faroe Islands,4496.396761904762
629,Luxembourg,5327.1882857142855
630,Norway,5653.379999999999
668,Poland,565.0840000000001
685,Sweden,4112.450333333334
794,South Africa,383.0330714285715
877,Botswana,289.0531428571429
883,Congo (Brazzaville),12.585
887,Swaziland,0.0
888,Central African Republic,16.111452380952386
890,Equatorial Guinea,177.47714285714287
893,Mauritius,306.11571428571426
897,Cameroon,56.77816666666667
906,Zambia,61.6770238095238
912,Comoros,119.876
915,Mayotte,3452.464761904762
916,Reunion,3452.464761904762
918,Madagascar,20.156714285714287
944,Angola,85.49380952380952
967,Gabon,187.893
973,Sao Tome and Principe,112.85871428571426
974,Mozambique,21.442666666666668
994,Seychelles,406.42666666666656
999,Chad,32.07828571428571
1001,Zimbabwe,81.90875
1013,Malawi,26.208499999999994
1018,Lesotho,60.11490476190477
1020,Congo (Kinshasa),12.585
1044,Mali,30.180000000000003
1050,Gambia,32.60761904761905
1051,Spain,1923.0339999999999
1059,Sierra Leone,58.23952380952382
1062,Liberia,40.46095238095238
1064,Morocco,120.5775
1081,Senegal,33.650571428571425
1094,Mauritania,39.8905
1102,Cape Verde,115.464
1107,Ethiopia,17.878500000000003
1120,Burundi,19.579857142857147
1121,Somalia,0.0
1127,Egypt,97.17423809523808
1138,Kenya,52.479261904761906
1152,Libya,233.55866666666668
1165,Rwanda,37.66038095238095
1169,Sudan,97.51525
1173,South Sudan,25.381833333333333
1176,Tanzania,0.0
1187,Uganda,44.461666666666666
1190,Albania,188.12590476190476
1191,Bulgaria,386.5548571428572
1197,Cyprus,1341.644857142857
1200,Croatia,828.2678055555555
1262,France,3452.464761904762
1441,Saint Pierre and Miquelon,3452.464761904762
1446,Greece,1455.1559999999997
1489,Hungary,742.28
1501,Italy,2397.2
1569,Slovenia,1655.7912222222221
1579,Czech Republic,1094.7652222222223
1590,Israel,1974.1967142857143
1606,Malta,1539.332095238095
1609,Austria,3755.7980714285704
1617,Portugal,1513.6401666666668
1645,Bosnia and Herzegovina,338.72766666666666
1647,Romania,328.3307142857143
1665,Switzerland,6892.397000000001
1682,Turkey,377.7285714285714
1735,Moldova,126.2251111111111
1737,Macedonia,269.0918333333334
1738,Gibraltar,2967.2897142857146
1739,Serbia,423.2622222222222
1741,Montenegro,349.6361111111112
1745,Slovakia,916.8055555555554
1754,Turks and Caicos Islands,2967.2897142857146
1759,Dominican Republic,245.49914285714286
1767,Guatemala,165.31192857142858
1771,Honduras,129.44419047619047
1779,Jamaica,210.24404761904765
1783,Mexico,426.63371428571435
1863,Nicaragua,102.70476190476192
1865,Panama,566.2797142857141
1879,Costa Rica,566.9633571428571
1892,El Salvador,218.6443333333333
1895,Haiti,43.74321428571429
1901,Cuba,0.0
1925,Cayman Islands,2967.2897142857146
1930,Bahamas,1683.6814285714283
1957,Belize,203.7498571428572
1958,Cook Islands,391.02871428571433
1960,Fiji,136.81542857142858
1963,Tonga,146.4987857142857
1965,Kiribati,113.696
1968,Wallis and Futuna,3452.464761904762
1969,Samoa,162.40190476190477
1970,American Samoa,6843.227857142857
1971,French Polynesia,3452.464761904762
1997,Vanuatu,73.67814285714286
1998,New Caledonia,3452.464761904762
2006,New Zealand,2661.8015238095236
2048,Afghanistan,42.42134285714286
2057,Bahrain,745.9656666666666
2059,Saudi Arabia,713.8245714285715
2097,Iran,278.28571428571433
2170,Jordan,242.22733333333332
2176,Kuwait,841.7458333333332
2177,Lebanon,507.11142857142846
2179,United Arab Emirates,1234.6320238095236
2192,Oman,423.1830952380953
2202,Pakistan,27.884047619047617
2234,Iraq,95.95954285714285
2243,Northern Mariana Islands,6843.227857142857
2246,Guam,6843.227857142857
2249,Marshall Islands,613.0476190476189
2254,Micronesia,0.0
2256,Palau,1041.5834523809524
2259,Taiwan,208.32821428571432
2279,Japan,3330.4635
2361,South Korea,1219.132380952381
2397,Philippines,80.49999999999999
2439,Argentina,601.6769999999999
2518,Brazil,610.6236666666666
2641,Chile,720.349642857143
2670,Ecuador,303.28
2699,Paraguay,191.22133333333332
2705,Colombia,288.4645
2759,Bolivia,106.11342857142857
2773,Suriname,394.840119047619
2774,French Guiana,3452.464761904762
2781,Peru,201.6807142857143
2816,Uruguay,929.7153571428571
2821,Venezuela,319.83961904761907
2874,Antigua and Barbuda,540.449619047619
2875,Barbados,908.0850952380953
2877,Dominica,284.2714285714286
2878,Martinique,3452.464761904762
2879,Guadeloupe,3452.464761904762
2882,Grenada,351.0540000000001
2883,Virgin Islands,6843.227857142857
2885,Puerto Rico,6843.227857142857
2891,Saint Kitts and Nevis,641.8595238095237
2893,Saint Lucia,371.36890476190484
2895,Aruba,3852.0574047619048
2896,Netherlands Antilles,3852.0574047619048
2900,Anguilla,2967.2897142857146
2901,Trinidad and Tobago,697.4556190476192
