1	26
2	26
3	26
4	26
5	26
6	26
7	1
8199	5
8	1
8200	4
9	1
8201	2
10	1
8202	2
11	1
8203	1
12	1
8204	1
8206	1
15	1
8207	1
16	1
8208	1
8209	1
18	4
21	1
24	1
8217	1
27	1
28	1
29	1
30	1
31	1
8223	1
32	1
33	1
8225	1
34	1
8227	32
36	1
37	1
40	2
41	1
8235	1
45	1
8237	1
8238	2
8239	1
48	1
8240	3
49	2
8241	2
50	2
8242	1
8243	3
8244	1
54	4
55	9
8247	1
56	1
58	1
60	1
61	1
62	1
63	1
8256	1
65	1
8258	1
67	1
8259	1
68	1
69	1
70	1
71	1
72	1
73	1
8266	1
75	2
77	1
78	1
79	1
80	1
85	1
87	1
90	1
91	1
94	2
99	1
100	1
105	1
106	1
108	1
109	1
111	1
112	1
113	1
115	1
116	1
117	1
119	1
120	1
121	1
122	1
8314	1
125	1
126	1
127	2
128	2
132	8
133	1
135	1
136	1
139	1
140	1
141	1
143	2
144	1
145	1
146	14
147	1
148	1
149	1
152	2
153	1
154	2
155	1
156	15
160	1
161	1
162	2
8355	1
164	1
166	1
167	1
168	1
169	1
170	2
172	1
173	1
174	1
175	1
176	1
177	1
178	15
179	1
180	1
181	1
182	1
183	1
184	1
187	1
188	2
189	2
8381	1
190	1
192	1
193	1872
196	6
198	1
199	1
200	1
202	3
206	1
209	1
8401	1421
210	1421
211	1421
8407	1
216	1421
220	1
221	1421
222	1
8414	1
224	1421
225	1
8417	1
230	1
231	1421
233	2
234	1421
235	1
236	1421
8428	2
237	1421
238	1421
239	1421
240	1
243	1421
244	1421
245	1421
246	1421
247	1421
248	1421
249	1421
251	1
252	1421
253	1421
260	1421
262	1
263	1
264	1421
266	1
267	1
268	1
269	1
270	1421
273	1421
275	1421
276	1
277	1
280	1421
286	1
287	1421
290	3
291	2
293	1
295	1421
296	1
298	1421
299	1
8492	1
302	1426
304	5
309	1
310	1
337	1
338	1
339	1
340	1427
341	1
342	1
344	2
345	14
346	17
347	1
348	1
349	1
350	1
351	3
352	1
353	1
355	3
356	1
362	1
364	1
371	1
373	2
374	1
382	1
393	1
400	1
410	1
413	1
415	2
416	1
421	14
428	2
429	1
430	1
432	1
433	1
435	1
8628	1
437	1
438	1
8630	1
439	1
441	1
442	1
446	1
448	1
453	1
455	1
458	1
460	1
462	1
465	1
467	1
468	1
469	1423
472	1
478	1426
481	1
488	2
490	1
491	1
492	7
494	1
495	1
497	1
498	1
499	1
502	1429
503	3
507	1423
508	1
514	1
515	1
517	1423
519	1
520	2
521	1
522	1
523	1
529	1
530	1
531	1
532	1
533	1
534	5
535	1
536	1
537	1
538	1
540	1
541	1
542	1
8735	1
547	1
548	8
8740	1
552	1
579	1
580	1450
582	1
8774	1
8775	1
585	1
586	1
8781	1
8782	1
591	1
596	1
599	1
600	1
601	1
603	1
605	1
607	1
608	1
609	1425
610	1
612	1
8807	1421
618	1
619	1
625	1
628	1
629	1
630	1
