tiempo,infectados
0,1
1,31
2,262
3,956
4,1582
5,1948
6,2240
7,2448
8,2609
9,2741
10,2845
11,2923
12,2984
13,3032
14,3075
15,3102
16,3127
17,3149
18,3169
19,3185
20,3195
21,3214
22,3224
23,3231
24,3239
25,3242
26,3248
27,3254
28,3258
29,3261
30,3264
31,3268
32,3273
33,3274
34,3276
35,3277
36,3277
37,3278
38,3279
39,3279
40,3279
41,3281
42,3281
43,3281
44,3282
45,3282
46,3282
47,3283
48,3283
49,3283
50,3283
