tiempo,infectados
0,1
1,30
2,38
3,66
4,108
5,182
6,236
7,261
8,272
9,278
10,292
11,323
12,419
13,532
14,627
15,763
16,880
17,1116
18,1448
19,1625
20,1692
21,1757
22,1863
23,1889
24,1897
25,1946
26,1955
27,2027
28,2138
29,2280
30,2330
31,2364
32,2414
33,2477
34,2547
35,2593
36,2628
37,2646
38,2674
39,2684
40,2692
41,2699
42,2701
43,2701
